id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3308107,CHATSWORTH ROAD,12104859,,,Croydon,51.36665815490837,-0.09281679773081736,Entire home/apt,85,1,1,2015-04-22,0.22,1,365
225676,Spacious Apartment with Garden,746733,Tom,,Croydon,51.41704471976843,-0.0890102971465342,Entire home/apt,80,3,22,2015-07-25,0.47,1,336
3380330,"""Boutique Croydon Apart-Hotel-CRH1",5319733,,,Croydon,51.37282129110082,-0.09999112471416924,Entire home/apt,125,1,1,2015-02-21,0.15,5,324
5909918,Уютная студия для двоих.,29203715,,,Croydon,51.36460610686088,-0.09589920925174757,Entire home/apt,89,1,0,,,1,365
3908657,A bubbly&lively area in South Lond.,8719055,,,Croydon,51.36742288056369,-0.0990153147666209,Private room,50,1,0,,,1,365
4355925,Luxury Apartment London,22610965,,,Croydon,51.381602634350656,-0.10943801864737272,Entire home/apt,100,1,0,,,1,295
3880046,Capri Apartments Croydon - 1 Bed,8318434,,,Croydon,51.368410685065015,-0.09612770647265002,Entire home/apt,79,4,0,,,1,327
1618887,Room in West Croydon,8613019,,,Croydon,51.376719460121045,-0.1046182243195531,Private room,31,1,8,2015-08-14,0.69,1,120
2862815,"Delightful double, private bathroom",12563987,Natasha,,Croydon,51.41335273222091,-0.08064144488219843,Private room,49,1,1,2014-05-26,0.06,2,365
2863309,"Large 2 bed, 2 bathroom garden flat",12563987,Natasha,,Croydon,51.413421993501295,-0.08064723646576526,Entire home/apt,140,1,1,2014-11-05,0.10,2,365
4238042,Luxury 2-bed apartment South London,13426564,,,Croydon,51.37482879841481,-0.0920304459072796,Entire home/apt,105,3,18,2015-08-31,1.94,1,248
2669410,Flexistay Deluxe One Bed Apartment,8150858,,,Croydon,51.36913060906768,-0.0960235846511077,Entire home/apt,96,7,0,,,4,365
1615727,"Modern, Quiet Room, South London",8599824,,,Croydon,51.37051932418398,-0.10034394978314727,Private room,28,2,11,2015-06-22,0.46,1,326
5867329,Room with a view in Crystal Palace,5828712,Andrea,,Croydon,51.419361252488756,-0.08213521140070783,Private room,40,1,3,2015-08-01,1.34,1,360
8174513,"Cosy, clean, small shared apartment",18787110,Roniqua,,Croydon,51.39588487473955,-0.1034663483632688,Shared room,45,1,0,,,1,355
4542137,Spacious Flat in heart of Croydon,23553687,,,Croydon,51.38587083854672,-0.10995861159006395,Private room,44,1,1,2014-11-30,0.11,1,365
6458634,Cosy Studio with Full Kitchen,33729662,Dylan,,Croydon,51.394510436441934,-0.07382731892776319,Private room,40,1,3,2015-08-23,1.18,1,242
740645,"Comfy  Bed, Good Transport,",3875553,Francesca,,Croydon,51.37082062354583,-0.12180733448827746,Private room,25,1,40,2015-08-27,1.40,1,283
5650440, 2 double bedrooms,29227143,Jo,,Croydon,51.41438137046895,-0.08765511162831313,Private room,58,1,0,,,1,365
507218,Large double/twin full of character,2236434,Joseph,,Croydon,51.372402246927905,-0.11272310033197565,Private room,33,1,101,2015-08-04,2.60,1,320
5084009,Single Rooms @ Cedars House,345967,,,Croydon,51.386390511335414,-0.10808967826432254,Private room,40,1,0,,,3,365
1719500,Well located flat. Good transport,8807537,Michael,,Croydon,51.37278612663168,-0.10346010592406993,Shared room,20,1,0,,,1,333
4196078,Beautiful One Bedroom House!,15305446,,,Croydon,51.370528782246126,-0.11156840623964061,Entire home/apt,65,3,1,2015-03-26,0.19,1,348
7971809,Super Cozy Sofa in South London,25077233,Giselle,,Croydon,51.398877218151185,-0.0812463341019835,Shared room,20,1,0,,,1,88
3262803,"Modern, Fresh 4 BD incl Loft room ",8733246,Sophia,,Croydon,51.41826202773986,-0.09412995519621853,Entire home/apt,95,7,1,2015-08-02,0.91,1,245
4911357,Peace haven,21124894,David,,Croydon,51.41818643995298,-0.08519862743349542,Private room,50,2,0,,,1,365
4321391,LUXURY APARTMENT -15MNS TO LONDON,22436861,,,Croydon,51.37169107493844,-0.09211903496807769,Entire home/apt,109,1,0,,,1,244
4117749,Flexistay Tulsi ApartHotel - Double,8150858,,,Croydon,51.36786401131664,-0.09933815768147591,Entire home/apt,60,3,0,,,4,365
3325609,"3 bedrooms,London Victoria 30 mints",5305157,,,Croydon,51.38621445448138,-0.10929970473436437,Entire home/apt,112,3,21,2015-08-12,1.54,1,310
38151,Double room/ lounge,163634,Lisa,,Croydon,51.41939690052524,-0.087219006560612,Private room,65,1,0,,,1,365
5114017,Family Room @ Cedars House,345967,,,Croydon,51.3885047075949,-0.10824518581683244,Private room,80,1,0,,,3,365
5841205,Charming rustic home with garden,13949042,Joanna,,Croydon,51.41771506386832,-0.08660978215451715,Entire home/apt,120,14,0,,,1,129
924891,"Cute, clean double bedroom in CR0 ",1264843,,,Croydon,51.3788922452114,-0.10336308150502298,Private room,50,2,0,,,1,365
69212,Double/Twin Room @ Cedars House,345967,,,Croydon,51.3884150072066,-0.10649442704851665,Entire home/apt,55,1,0,,,3,365
7078805,Large Livingroom in Croydon,33448255,Malgorzata,,Croydon,51.3816627794992,-0.10855798173331421,Shared room,35,1,0,,,1,361
5678792,"Charming Victorian Cottage, London",10445777,Katie,,Croydon,51.419499810494365,-0.08268792434654335,Entire home/apt,175,1,1,2015-08-23,1,1,363
4128299,beautiful room in south west London,20502519,Radka,,Croydon,51.4175734031362,-0.12019998991524428,Private room,25,1,0,,,1,326
7876038,"Crystal Palace room, friendly host",41514768,Maxine,,Croydon,51.42115761540924,-0.09062211246902593,Private room,26,2,0,,,1,361
7793368,Your own detached summer house!,19342820,Christian,,Croydon,51.41351961447808,-0.08269381010174603,Private room,35,1,3,2015-09-02,3,2,346
3929207,clean comfortable and quiet double,15481575,Patricia,,Croydon,51.41886987594202,-0.11900154676241312,Private room,32,5,6,2015-07-09,0.69,1,120
6798788,2 Double rooms in Crystal Palace,647136,Sue,,Croydon,51.40765845122306,-0.08975139136555484,Private room,34,2,0,,,1,98
3380338,Boutique Croydon Apart-Hotel-CRH2,5319733,,,Croydon,51.373256014947636,-0.09916623318241082,Entire home/apt,115,1,0,,,5,321
3988147,Easy East croydon Apartments-LND,5319733,,,Croydon,51.377253678847296,-0.09365413140610332,Entire home/apt,95,2,2,2015-07-27,0.39,5,337
3552851,Double room in hidden garden flat,17885857,Jo,,Croydon,51.41879451292044,-0.08675743336749189,Private room,35,1,0,,,1,240
4011657,Luxury Apartment with Amazing View,17014014,,,Croydon,51.37312605453832,-0.09257461529298482,Entire home/apt,80,2,5,2015-07-08,0.42,1,361
3315198,"Exclusive use house, 2 bedrooms",15087932,Rebecca,,Croydon,51.41960167654947,-0.08222566585068017,Entire home/apt,150,1,0,,,3,365
3773360,Private room in modern house.,19342820,Christian,,Croydon,51.412853066903594,-0.08327078003803351,Private room,25,1,11,2015-08-26,10.00,2,308
7096169,Elegant British 1bed roof top abode,37195471,Tom,,Croydon,51.418093259672006,-0.08480733538846547,Entire home/apt,65,1,2,2015-07-23,1.11,1,350
5861124,Terraced Family House ,30432383,,,Croydon,51.381561685767295,-0.08887912902052288,Entire home/apt,80,5,0,,,1,129
2347963,Beautiful room for FEMALES only,11991609,Naomi,,Croydon,51.37218170123332,-0.10382042357996546,Private room,26,2,13,2015-08-30,2.69,1,323
7739250,Lovely house in excellent location,22033798,Camilla,,Croydon,51.40857089907756,-0.12308447972448566,Entire home/apt,120,2,1,2015-08-31,1,1,252
5975492,07 Unbeatable value in South London,30629100,Gary,,Croydon,51.383287807198656,-0.0822093275503513,Entire home/apt,47,4,7,2015-08-26,3.04,1,194
410018,Double room in Croydon ,2040927,,,Croydon,51.371886315784195,-0.10183302304698715,Private room,115,3,0,,,1,365
5134081,Spacious Double Room with Ensuite,26541508,,,Croydon,51.38905704773297,-0.10136670208495469,Private room,56,1,0,,,1,365
3161759,Brand New Flat in Great Location!,4004316,,,Croydon,51.373739232597785,-0.11600214324909457,Entire home/apt,94,1,12,2015-08-28,0.84,1,337
7087470,Modern 1 Bed - 15 mins to London,31805204,Savraj,,Croydon,51.372374845187245,-0.08988805633567276,Entire home/apt,71,1,0,,,1,78
7474138,Lovely Crystal Palace Dble Bedroom,17959936,Sam,,Croydon,51.41822609631376,-0.08377459356102608,Private room,45,2,0,,,1,365
2956031,Lovely double room zone 3,15087932,Rebecca,,Croydon,51.41931615122924,-0.0823828882413939,Private room,37,2,24,2015-08-22,1.64,3,354
4594232,1 Bedroom Flat with Living room,23811301,Diego,,Croydon,51.41765706698705,-0.08420620476572876,Entire home/apt,80,1,0,,,1,229
3266610,"Split Level room & terrace, zone 3",15087932,Rebecca,,Croydon,51.41913061101264,-0.081808873231444,Private room,40,2,7,2015-07-29,0.50,3,356
4858546,Flat To rent  in LONDON !!!!,24993393,Nawel,,Croydon,51.38611649323751,-0.10945042236531173,Entire home/apt,90,4,4,2015-08-23,0.98,1,341
583840,"Room in lovely flat, South London",2877076,Karen,,Bromley,51.42344466875033,-0.06425784465748482,Private room,35,1,11,2015-07-27,0.46,1,242
8145937,Comfortable and modern family home,16195889,Oliver,,Bromley,51.42069924986472,-0.05205951292549935,Entire home/apt,120,1,0,,,1,274
392066,loft room,1960684,,,Bromley,51.413663923946004,0.020394551621854565,Private room,30,2,7,2013-10-28,0.17,1,294
1612619,3 Bedroom Home,7494173,Ashik,,Bromley,51.39594441139761,0.02356282071473721,Entire home/apt,80,2,5,2015-06-22,0.22,2,348
5455234,A London Borough of Bromley Home,28292034,,,Bromley,51.39406616785527,0.03255531791951941,Private room,40,1,0,,,1,365
3568323,"Central London in 20 mins, 3 people",9806400,Peter,,Bromley,51.41354958902356,-0.015734880380487943,Private room,33,1,26,2015-08-28,2.23,1,320
1384608,3 Bedroom Flat,7494173,Ashik,,Bromley,51.395031720910424,0.023659720203723165,Entire home/apt,95,2,23,2015-07-25,1.09,2,348
5246586,Eco-lodge 30 mins to central London,27153160,Molly,,Bromley,51.41279064929488,0.0023923559177240154,Entire home/apt,79,1,8,2015-08-22,1.30,1,314
7845606,Larger than average single room,41342803,Jackie,,Bromley,51.404887627336606,0.025375741855820522,Private room,25,1,0,,,1,335
6190369,Double En Suite Room in Bromley,19914976,Paul,,Bromley,51.40099914730096,0.027577974857746615,Private room,40,1,0,,,1,89
7719231,2 Bedroom Flat on the Crystal Palac,40506688,Nick,,Bromley,51.42479790576923,-0.06652331075215262,Entire home/apt,65,1,1,2015-08-18,1,1,337
4702563,Studio+parking for your holiday!,24309741,Natalia,,Bromley,51.417931874159464,-0.07165530344716847,Private room,75,3,0,,,1,362
7962132,"Comfortable, clean double room",32280720,Emma,,Bromley,51.425439743407786,-0.07481144827165803,Private room,35,1,0,,,1,362
2934808,Cheap London double bedroom&bath ,1812653,Nana,,Bromley,51.41463976174473,-0.07194364913601273,Private room,45,1,4,2015-03-13,0.27,1,353
5968857,"Comfy, very clean, double bedroom",30984636,Fred,,Bromley,51.41497865804762,-0.06671739004228096,Private room,35,3,0,,,1,176
6851047,"Large London Room, sleeps 2.",35898884,Kate,,Bromley,51.414162070990045,-0.07095804776082004,Private room,30,1,1,2015-08-17,1,1,126
81473,"Lush room in Crystal Palace, London",441881,Petra,,Bromley,51.41642888626374,-0.07672826080979513,Private room,40,2,39,2015-07-30,0.73,1,362
5914575,Apartment - Bromley Town Centre,30715787,Bromley Serviced Apartments,,Bromley,51.40712636494875,0.016440884930580334,Entire home/apt,129,4,1,2015-09-01,1,1,331
3886126,Double Room in a Shared House,20099820,Greer,,Bromley,51.40973802165596,0.013689681949474236,Private room,30,3,4,2015-08-16,0.98,1,160
6627841,Nice and spacious 2 bedroom flat,5567294,Maral,,Bromley,51.41052238595718,0.01997855439952088,Entire home/apt,80,5,2,2015-08-12,1.15,5,309
1410003,Twin bedded room in Edwardian house,7603537,,,Bromley,51.40915465387603,0.005004568763583232,Private room,46,1,5,2015-07-26,0.21,1,365
2777733,Penthouse Apartment ,10906523,Bob,,Bromley,51.40559186917421,0.012725460741323167,Entire home/apt,150,7,5,2015-03-15,0.33,1,365
3689458,Central London: 20 mins + ensuite!,9806400,,,Bromley,51.414030805597456,-0.014709171020655042,Private room,39,2,0,,,1,337
7381211,"Tranquil,convenient",38666124,Cathy,,Bromley,51.410616326003876,0.005958105018477936,Entire home/apt,86,2,1,2015-08-19,1,1,355
947200,Overdale Villa Apartment Bromley ,4558533,,,Bromley,51.418304387076,0.0012785711788197845,Entire home/apt,40,1,0,,,3,365
4145063,Adorable bedroom in creative home ,2927850,Gaby,,Bromley,51.41880059390789,-0.07525689465115168,Private room,45,2,3,2015-01-16,0.37,2,174
1608341,Cozy 1 Bedroom Crystal Palace Flat,7621037,Daniel,,Bromley,51.41362185417474,-0.06928815335048649,Entire home/apt,85,3,5,2015-06-19,0.29,1,179
7953055,Traquil London home,41939275,Ursula,,Bromley,51.400446709763536,0.02536913132864103,Entire home/apt,100,1,0,,,1,111
4698470,The Victorian -Dbl+,9806400,,,Bromley,51.41281166205181,-0.013554458690903829,Private room,30,1,6,2015-08-28,0.72,1,345
6622564,Fabulos Flat Central London 17 mins,34661679,Ed & Alejandra,,Bromley,51.421907934487734,-0.05455122330563293,Entire home/apt,70,1,3,2015-07-17,1.61,2,76
5381496,sofa bed in the living room,27894845,Anne-Christine,,Bromley,51.407234011073285,-0.0670602451915216,Shared room,25,2,19,2015-08-10,3.31,1,69
2945180,Huge & luxurious 15mins centre ldn ,15036035,,,Bromley,51.39764828976482,0.027952531544340093,Private room,49,2,2,2014-08-25,0.15,1,361
6936680,"A Victorian Villa, Beautiful Rooms",4926901,Karen,,Bromley,51.425341666044524,-0.07288424798939061,Entire home/apt,150,2,1,2015-06-29,0.45,2,92
3597888, Double Room with stunning views,18127929,,,Bromley,51.391590338733636,0.032221236653046326,Private room,60,1,0,,,1,356
4783399,Room for International Student,24661813,Tanya,,Bromley,51.4022407288356,0.013472545895727606,Private room,30,1,2,2015-08-23,0.37,1,316
4162938,Elegantly Decorated Private Room,2316112,Dries,,Bromley,51.42218569995064,0.010747688440506668,Private room,31,3,20,2015-08-22,3.82,4,304
7950142,Cozy 1 bed flat in crystal palace,19815438,Luke,,Bromley,51.417275268331124,-0.06618124517524393,Private room,25,2,0,,,1,229
1015804,"Private room, Crystal Palace,London",5589729,Hayley,,Bromley,51.41537530310528,-0.07975555046726834,Private room,60,1,0,,,1,62
2799985,Single room in Bromley with parking,14319728,,,Bromley,51.39635444572888,0.029053640081208032,Private room,45,2,4,2015-02-04,0.25,1,361
5368508,Modern 2 bed 2 Bathroom Apartment,27830435,Patrick,,Bromley,51.423641384338644,-0.06670888803903754,Entire home/apt,100,4,0,,,1,173
7544851,Double bed near train nice garden,35470496,John,,Bromley,51.41100727678064,0.018009993014748205,Private room,46,1,1,2015-08-25,1,1,355
7769599,Cosy Single room in creative home,2927850,Gaby,,Bromley,51.419554740214494,-0.07474130574928471,Private room,25,3,0,,,2,220
430587,"Crystal Palace, home from home",2140668,Andrew,,Bromley,51.418139057714505,-0.07693973814519016,Private room,75,1,3,2014-11-03,0.08,1,365
4692685,1 bed garden flat in SE London,24259983,Anne,,Bromley,51.416733835326944,-0.07519883558548747,Entire home/apt,65,2,1,2015-02-21,0.15,1,178
1726687,Lovely appartment in Crystal Palace,9099921,Beatriz,,Bromley,51.41448031844648,-0.07415496574260992,Entire home/apt,150,3,0,,,1,365
